LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
OECD,CCI,AMPLITUD,LTRENDIDX,M,2006-08,100.3282,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2006-09,100.4574,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2006-10,100.6477,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2006-11,100.7562,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2006-12,100.8032,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2007-01,100.8179,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2007-02,100.7605,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2007-03,100.6882,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2007-04,100.6664,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2007-05,100.6827,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2007-06,100.6649,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2007-07,100.6327,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2007-08,100.5031,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2007-09,100.332,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2007-10,100.1202,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2007-11,99.87909,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2007-12,99.68545,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2008-01,99.48528,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2008-02,99.19539,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2008-03,98.8538,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2008-04,98.44643,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2008-05,98.06776,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2008-06,97.8022,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2008-07,97.74741,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2008-08,97.82834,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2008-09,97.83325,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2008-10,97.58152,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2008-11,97.34618,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2008-12,97.20786,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2009-01,97.13547,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2009-02,97.13319,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2009-03,97.31826,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2009-04,97.70045,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2009-05,98.08694,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2009-06,98.38426,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2009-07,98.57425,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2009-08,98.75478,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2009-09,98.95351,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2009-10,99.04601,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2009-11,99.07787,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2009-12,99.15143,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2010-01,99.2449,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2010-02,99.29471,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2010-03,99.31966,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2010-04,99.31625,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2010-05,99.29314,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2010-06,99.26295,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2010-07,99.19422,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2010-08,99.16327,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2010-09,99.15505,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2010-10,99.20694,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2010-11,99.32336,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2010-12,99.40445,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2011-01,99.40757,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2011-02,99.32132,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2011-03,99.10738,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2011-04,98.9724,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2011-05,98.94427,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2011-06,98.84096,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2011-07,98.59525,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2011-08,98.31956,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2011-09,98.2163,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2011-10,98.25465,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2011-11,98.40569,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2011-12,98.60626,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2012-01,98.82044,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2012-02,98.97095,
OECD,CCI,AMPLITUD,LTRENDIDX,M,2012-03,99.04831,
