"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"OECD","CPI","TOT","AGRWTH","M","2007-03",2.439516,
"OECD","CPI","TOT","AGRWTH","M","2007-04",2.340034,
"OECD","CPI","TOT","AGRWTH","M","2007-05",2.321378,
"OECD","CPI","TOT","AGRWTH","M","2007-06",2.29368,
"OECD","CPI","TOT","AGRWTH","M","2007-07",2.100183,
"OECD","CPI","TOT","AGRWTH","M","2007-08",1.882145,
"OECD","CPI","TOT","AGRWTH","M","2007-09",2.324229,
"OECD","CPI","TOT","AGRWTH","M","2007-10",2.884662,
"OECD","CPI","TOT","AGRWTH","M","2007-11",3.419984,
"OECD","CPI","TOT","AGRWTH","M","2007-12",3.348619,
"OECD","CPI","TOT","AGRWTH","M","2008-01",3.490741,
"OECD","CPI","TOT","AGRWTH","M","2008-02",3.440624,
"OECD","CPI","TOT","AGRWTH","M","2008-03",3.525626,
"OECD","CPI","TOT","AGRWTH","M","2008-04",3.460073,
"OECD","CPI","TOT","AGRWTH","M","2008-05",3.824406,
"OECD","CPI","TOT","AGRWTH","M","2008-06",4.393461,
"OECD","CPI","TOT","AGRWTH","M","2008-07",4.809825,
"OECD","CPI","TOT","AGRWTH","M","2008-08",4.648012,
"OECD","CPI","TOT","AGRWTH","M","2008-09",4.394196,
"OECD","CPI","TOT","AGRWTH","M","2008-10",3.618102,
"OECD","CPI","TOT","AGRWTH","M","2008-11",2.12207,
"OECD","CPI","TOT","AGRWTH","M","2008-12",1.412749,
"OECD","CPI","TOT","AGRWTH","M","2009-01",1.179309,
"OECD","CPI","TOT","AGRWTH","M","2009-02",1.245109,
"OECD","CPI","TOT","AGRWTH","M","2009-03",0.7696196,
"OECD","CPI","TOT","AGRWTH","M","2009-04",0.5071549,
"OECD","CPI","TOT","AGRWTH","M","2009-05",-0.0355167,
"OECD","CPI","TOT","AGRWTH","M","2009-06",-0.2522428,
"OECD","CPI","TOT","AGRWTH","M","2009-07",-0.7775326,
"OECD","CPI","TOT","AGRWTH","M","2009-08",-0.4175863,
"OECD","CPI","TOT","AGRWTH","M","2009-09",-0.4131458,
"OECD","CPI","TOT","AGRWTH","M","2009-10",0.1193447,
"OECD","CPI","TOT","AGRWTH","M","2009-11",1.227302,
"OECD","CPI","TOT","AGRWTH","M","2009-12",1.805172,
"OECD","CPI","TOT","AGRWTH","M","2010-01",2.028151,
"OECD","CPI","TOT","AGRWTH","M","2010-02",1.859009,
"OECD","CPI","TOT","AGRWTH","M","2010-03",2.0451,
"OECD","CPI","TOT","AGRWTH","M","2010-04",2.068022,
"OECD","CPI","TOT","AGRWTH","M","2010-05",1.930341,
"OECD","CPI","TOT","AGRWTH","M","2010-06",1.418373,
