index,value,date
0,100.2297,2006-08-01
1,100.2857,2006-09-01
2,100.3443,2006-10-01
3,100.4197,2006-11-01
4,100.4734,2006-12-01
5,100.4786,2007-01-01
6,100.5258,2007-02-01
7,100.6184,2007-03-01
8,100.7451,2007-04-01
9,100.8869,2007-05-01
10,100.9305,2007-06-01
11,100.8655,2007-07-01
12,100.6811,2007-08-01
13,100.4509,2007-09-01
14,100.2181,2007-10-01
15,99.94637,2007-11-01
16,99.69296,2007-12-01
17,99.46131,2008-01-01
18,99.29495,2008-02-01
19,99.15007,2008-03-01
20,98.94211,2008-04-01
21,98.63087,2008-05-01
22,98.26881,2008-06-01
23,98.03305999999999,2008-07-01
24,98.00887,2008-08-01
25,98.02644000000001,2008-09-01
26,97.92443,2008-10-01
27,97.79179,2008-11-01
28,97.61092,2008-12-01
29,97.4701,2009-01-01
30,97.38524,2009-02-01
31,97.42078000000001,2009-03-01
32,97.63495,2009-04-01
33,97.94436,2009-05-01
34,98.30893,2009-06-01
35,98.66183000000001,2009-07-01
36,98.98380999999999,2009-08-01
37,99.28945,2009-09-01
38,99.54456,2009-10-01
39,99.6997,2009-11-01
40,99.75425,2009-12-01
41,99.72098000000001,2010-01-01
42,99.59144,2010-02-01
43,99.44906,2010-03-01
44,99.2994,2010-04-01
45,99.11282,2010-05-01
46,99.07384,2010-06-01
47,99.18928000000001,2010-07-01
48,99.34703,2010-08-01
49,99.42022,2010-09-01
50,99.46844,2010-10-01
51,99.52496,2010-11-01
52,99.50865,2010-12-01
53,99.48656,2011-01-01
54,99.47083,2011-02-01
55,99.38096999999999,2011-03-01
56,99.259,2011-04-01
57,99.21973,2011-05-01
58,99.19371,2011-06-01
59,99.02625,2011-07-01
60,98.70304,2011-08-01
61,98.41779,2011-09-01
62,98.25707,2011-10-01
63,98.22624,2011-11-01
64,98.25053,2011-12-01
65,98.3256,2012-01-01
66,98.4334,2012-02-01
67,98.507,2012-03-01
68,98.48236,2012-04-01
69,98.44421,2012-05-01
70,98.37138,2012-06-01
71,98.21486999999999,2012-07-01
72,98.01051,2012-08-01
73,97.81612,2012-09-01
74,97.7163,2012-10-01
75,97.67774,2012-11-01
76,97.72876,2012-12-01
77,97.85828000000001,2013-01-01
78,97.96479000000001,2013-02-01
79,98.046,2013-03-01
80,98.13224,2013-04-01
81,98.22522,2013-05-01
82,98.35141999999999,2013-06-01
83,98.50903000000001,2013-07-01
84,98.70132,2013-08-01
85,98.89873,2013-09-01
86,99.02616,2013-10-01
87,99.12462,2013-11-01
88,99.26371,2013-12-01
89,99.42321,2014-01-01
90,99.57343,2014-02-01
91,99.73519,2014-03-01
92,99.86943000000001,2014-04-01
93,99.97485,2014-05-01
94,99.99356,2014-06-01
95,99.9251,2014-07-01
96,99.80773,2014-08-01
97,99.72704,2014-09-01
98,99.71387,2014-10-01
99,99.74521999999999,2014-11-01
100,99.8771,2014-12-01
101,100.0935,2015-01-01
102,100.334,2015-02-01
103,100.49700000000001,2015-03-01
104,100.5385,2015-04-01
105,100.4881,2015-05-01
106,100.4079,2015-06-01
107,100.3631,2015-07-01
108,100.4221,2015-08-01
109,100.5222,2015-09-01
110,100.6297,2015-10-01
111,100.72,2015-11-01
112,100.7493,2015-12-01
113,100.6446,2016-01-01
114,100.4539,2016-02-01
115,100.291,2016-03-01
116,100.2471,2016-04-01
117,100.2746,2016-05-01
118,100.3105,2016-06-01
119,100.3286,2016-07-01
120,100.3638,2016-08-01
121,100.4339,2016-09-01
122,100.5447,2016-10-01
123,100.639,2016-11-01
124,100.6664,2016-12-01
125,100.6077,2017-01-01
126,100.5281,2017-02-01
127,100.5356,2017-03-01
128,100.6218,2017-04-01
129,100.7533,2017-05-01
130,100.9259,2017-06-01
131,101.0727,2017-07-01
132,101.1708,2017-08-01
133,101.25399999999999,2017-09-01
134,101.3351,2017-10-01
135,101.4019,2017-11-01
136,101.4362,2017-12-01
137,101.4066,2018-01-01
138,101.3342,2018-02-01
139,101.2421,2018-03-01
140,101.1684,2018-04-01
141,101.1182,2018-05-01
142,101.0977,2018-06-01
143,101.0847,2018-07-01
144,101.0485,2018-08-01
145,100.9835,2018-09-01
146,100.9053,2018-10-01
147,100.7761,2018-11-01
148,100.6425,2018-12-01
149,100.6051,2019-01-01
150,100.6334,2019-02-01
151,100.6627,2019-03-01
152,100.6653,2019-04-01
153,100.6816,2019-05-01
154,100.6774,2019-06-01
155,100.6876,2019-07-01
156,100.6802,2019-08-01
157,100.6664,2019-09-01
158,100.6076,2019-10-01
159,100.5497,2019-11-01
160,100.4615,2019-12-01
