index,value,date
0,4.4815,2008-01-01
1,4.3621,2008-02-01
2,4.5964,2008-03-01
3,4.7835,2008-04-01
4,4.8574,2008-05-01
5,4.9405,2008-06-01
6,4.961,2008-07-01
7,4.9652,2008-08-01
8,5.0192,2008-09-01
9,5.1131,2008-10-01
10,4.2383,2008-11-01
11,3.2926,2008-12-01
12,2.4565,2009-01-01
13,1.9431,2009-02-01
14,1.6355,2009-03-01
15,1.4223,2009-04-01
16,1.2817,2009-05-01
17,1.2279,2009-06-01
18,0.975,2009-07-01
19,0.8605,2009-08-01
20,0.7721,2009-09-01
21,0.7375,2009-10-01
22,0.7162,2009-11-01
23,0.712,2009-12-01
24,0.6797,2010-01-01
25,0.6617,2010-02-01
26,0.645,2010-03-01
27,0.6447,2010-04-01
28,0.6865,2010-05-01
29,0.7276,2010-06-01
30,0.8488,2010-07-01
31,0.8955,2010-08-01
32,0.8805,2010-09-01
33,0.9977,2010-10-01
34,1.042,2010-11-01
35,1.0217,2010-12-01
36,1.0172,2011-01-01
37,1.0867,2011-02-01
38,1.1755,2011-03-01
39,1.3212,2011-04-01
40,1.4251,2011-05-01
41,1.4886,2011-06-01
42,1.5976,2011-07-01
43,1.5521,2011-08-01
44,1.5365,2011-09-01
45,1.5759,2011-10-01
46,1.4847,2011-11-01
47,1.4261,2011-12-01
48,1.2222,2012-01-01
49,1.0483,2012-02-01
50,0.8585,2012-03-01
51,0.7443,2012-04-01
52,0.6849,2012-05-01
53,0.6589,2012-06-01
54,0.497,2012-07-01
55,0.3324,2012-08-01
56,0.2463,2012-09-01
57,0.2079,2012-10-01
58,0.192,2012-11-01
59,0.1855,2012-12-01
60,0.2049,2013-01-01
61,0.2234,2013-02-01
62,0.2061,2013-03-01
63,0.2089,2013-04-01
64,0.2012,2013-05-01
65,0.2103,2013-06-01
66,0.2214,2013-07-01
67,0.2259,2013-08-01
68,0.2232,2013-09-01
69,0.2258,2013-10-01
70,0.2234,2013-11-01
71,0.2735,2013-12-01
72,0.292,2014-01-01
73,0.2881,2014-02-01
74,0.3053,2014-03-01
75,0.3297,2014-04-01
76,0.3246,2014-05-01
77,0.2414,2014-06-01
78,0.205,2014-07-01
79,0.1916,2014-08-01
80,0.0971,2014-09-01
81,0.0826,2014-10-01
82,0.0809,2014-11-01
83,0.0809,2014-12-01
84,0.0627,2015-01-01
85,0.0482,2015-02-01
86,0.0272,2015-03-01
87,0.0047,2015-04-01
88,-0.0104,2015-05-01
89,-0.0139,2015-06-01
90,-0.0187,2015-07-01
91,-0.0277,2015-08-01
92,-0.037,2015-09-01
93,-0.0536,2015-10-01
94,-0.0876,2015-11-01
95,-0.1263,2015-12-01
96,-0.1461,2016-01-01
97,-0.1836,2016-02-01
98,-0.2285,2016-03-01
99,-0.2492,2016-04-01
100,-0.2572,2016-05-01
101,-0.2679,2016-06-01
102,-0.2945,2016-07-01
103,-0.2982,2016-08-01
104,-0.3016,2016-09-01
105,-0.309,2016-10-01
106,-0.3127,2016-11-01
107,-0.3158,2016-12-01
108,-0.3255,2017-01-01
109,-0.3286,2017-02-01
110,-0.3293,2017-03-01
111,-0.3304,2017-04-01
112,-0.3295,2017-05-01
113,-0.33,2017-06-01
114,-0.3304,2017-07-01
115,-0.3291,2017-08-01
116,-0.3294,2017-09-01
117,-0.3295,2017-10-01
118,-0.329,2017-11-01
119,-0.3279,2017-12-01
120,-0.3285,2018-01-01
121,-0.3285,2018-02-01
122,-0.3279,2018-03-01
123,-0.3285,2018-04-01
124,-0.3252,2018-05-01
125,-0.322,2018-06-01
126,-0.3207,2018-07-01
127,-0.319,2018-08-01
128,-0.3188,2018-09-01
129,-0.3177,2018-10-01
130,-0.3164,2018-11-01
131,-0.3119,2018-12-01
132,-0.308,2019-01-01
133,-0.3084,2019-02-01
134,-0.3092,2019-03-01
135,-0.3105,2019-04-01
136,-0.3119,2019-05-01
137,-0.3289,2019-06-01
138,-0.3649,2019-07-01
139,-0.4077,2019-08-01
140,-0.4176,2019-09-01
141,-0.4129,2019-10-01
142,-0.4013,2019-11-01
143,-0.3947,2019-12-01
