index,Date,OFR FSI,Credit,Equity valuation,Safe assets,Funding,Volatility
0,2008-01-02,4.7989999999999995,1.579,0.539,0.474,2.191,0.016
1,2008-01-03,4.784,1.63,0.544,0.505,2.093,0.012
2,2008-01-04,5.083,1.6880000000000002,0.738,0.523,1.9040000000000001,0.23
3,2008-01-07,5.0089999999999995,1.714,0.758,0.48700000000000004,1.6909999999999998,0.359
4,2008-01-08,4.771,1.73,0.7829999999999999,0.514,1.5219999999999998,0.222
5,2008-01-09,4.8069999999999995,1.903,0.763,0.479,1.432,0.23
6,2008-01-10,4.832,1.857,0.7909999999999999,0.532,1.4669999999999999,0.185
7,2008-01-11,4.857,1.8969999999999998,0.875,0.55,1.3159999999999998,0.21899999999999997
8,2008-01-14,4.757,1.92,0.835,0.593,1.176,0.233
9,2008-01-15,5.307,1.9780000000000002,0.986,0.613,1.271,0.45899999999999996
10,2008-01-16,5.557,2.011,1.0979999999999999,0.556,1.227,0.665
11,2008-01-17,5.843,2.101,1.147,0.5820000000000001,1.339,0.674
12,2008-01-18,5.8839999999999995,2.142,1.1740000000000002,0.58,1.296,0.6920000000000001
13,2008-01-22,7.843999999999999,2.4530000000000003,1.501,0.614,1.571,1.705
14,2008-01-23,7.516,2.5610000000000004,1.47,0.606,1.1079999999999999,1.771
15,2008-01-24,6.752000000000001,2.32,1.266,0.622,0.98,1.564
16,2008-01-25,6.9079999999999995,2.35,1.213,0.615,1.344,1.386
17,2008-01-28,7.239,2.314,1.273,0.645,1.348,1.659
18,2008-01-29,6.631,2.234,1.149,0.618,1.271,1.359
19,2008-01-30,6.8389999999999995,2.186,1.193,0.6709999999999999,1.484,1.305
20,2008-01-31,6.736000000000001,2.306,1.11,0.674,1.4609999999999999,1.185
21,2008-02-01,6.353,2.315,1.028,0.633,1.47,0.907
22,2008-02-04,6.303,2.279,0.9790000000000001,0.625,1.5419999999999998,0.878
23,2008-02-05,7.016,2.396,1.1540000000000001,0.58,1.726,1.16
24,2008-02-06,7.412000000000001,2.412,1.254,0.591,1.72,1.435
25,2008-02-07,7.087999999999999,2.4090000000000003,1.261,0.534,1.528,1.3559999999999999
26,2008-02-08,7.379,2.471,1.281,0.569,1.6159999999999999,1.442
27,2008-02-11,7.441,2.523,1.285,0.575,1.591,1.4669999999999999
28,2008-02-12,7.149,2.537,1.1740000000000002,0.556,1.5730000000000002,1.3090000000000002
29,2008-02-13,7.031000000000001,2.571,1.12,0.515,1.656,1.169
30,2008-02-14,6.886,2.515,1.063,0.5429999999999999,1.7469999999999999,1.018
31,2008-02-15,6.975,2.5980000000000003,1.104,0.557,1.777,0.9390000000000001
32,2008-02-19,6.865,2.5869999999999997,1.022,0.5589999999999999,1.785,0.912
